Fecha,DXY,VIX,Inflacion_USA
2023-09-28,106.22000122070312,,307.374
2023-09-29,106.16999816894531,,307.374
2023-10-02,106.9000015258789,20.53,307.374
2023-10-03,107.0,24.8,307.374
2023-10-04,106.80000305175781,18.97,307.374
2023-10-05,106.33000183105469,16.94,307.374
2023-10-06,106.04000091552734,,307.374
2023-10-09,106.08000183105469,,307.374
2023-10-10,105.83000183105469,17.03,307.374
2023-10-11,105.81999969482422,14.17,307.374
2023-10-12,106.56999969482422,,307.374
2023-10-13,106.6500015258789,,307.374
2023-10-16,106.23999786376953,,307.374
2023-10-17,106.25,,307.374
2023-10-18,106.56999969482422,,307.374
2023-10-19,106.25,,307.374
2023-10-20,106.16000366210938,,307.374
2023-10-23,105.54000091552734,,307.374
2023-10-24,106.2699966430664,,307.374
2023-10-25,106.52999877929688,,307.374
2023-10-26,106.5999984741211,,307.374
2023-10-27,106.55999755859375,,307.374
2023-10-30,106.12000274658203,,307.374
2023-10-31,106.66000366210938,,307.374
2023-11-01,106.87999725341797,21.09,308.087
2023-11-02,106.12000274658203,,308.087
2023-11-03,105.0199966430664,,308.087
2023-11-06,105.22000122070312,,308.087
2023-11-07,105.54000091552734,14.84,308.087
2023-11-08,105.58999633789062,14.84,308.087
2023-11-09,105.91000366210938,13.8,308.087
2023-11-10,105.86000061035156,16.09,308.087
2023-11-13,105.66000366210938,,308.087
2023-11-14,104.11000061035156,,308.087
2023-11-15,104.38999938964844,,308.087
2023-11-16,104.37000274658203,,308.087
2023-11-17,103.81999969482422,,308.087
2023-11-20,103.47000122070312,,308.087
2023-11-21,103.56999969482422,,308.087
2023-11-22,103.91999816894531,,308.087
2023-11-24,103.4000015258789,,308.087
2023-11-27,103.19999694824219,,308.087
2023-11-28,102.75,,308.087
2023-11-29,102.7699966430664,,308.087
2023-11-30,103.5,,308.087
2023-12-01,103.2699966430664,18.83,308.735
2023-12-04,103.63999938964844,19.09,308.735
2023-12-05,104.05000305175781,17.03,308.735
2023-12-06,104.1500015258789,15.01,308.735
2023-12-07,103.54000091552734,13.54,308.735
2023-12-08,104.01000213623047,,308.735
2023-12-11,104.0999984741211,,308.735
2023-12-12,103.87000274658203,12.07,308.735
2023-12-13,102.87000274658203,,308.735
2023-12-14,101.95999908447266,,308.735
2023-12-15,102.55000305175781,,308.735
2023-12-18,102.51000213623047,,308.735
2023-12-19,102.16999816894531,,308.735
2023-12-20,102.41000366210938,,308.735
2023-12-21,101.83999633789062,,308.735
2023-12-22,101.69999694824219,,308.735
2023-12-26,101.47000122070312,,308.735
2023-12-27,100.98999786376953,,308.735
2023-12-28,101.2300033569336,,308.735
2023-12-29,101.33000183105469,,308.735
2024-01-02,102.19999694824219,13.88,308.735
2024-01-03,102.45999908447266,13.11,308.735
2024-01-04,102.41999816894531,13.65,308.735
2024-01-05,102.41000366210938,15.39,308.735
2024-01-08,102.20999908447266,18.59,308.735
2024-01-09,102.56999969482422,,308.735
2024-01-10,102.36000061035156,19.26,308.735
2024-01-11,102.29000091552734,21.88,308.735
2024-01-12,102.4000015258789,,308.735
2024-01-16,103.36000061035156,,308.735
2024-01-17,103.44999694824219,,308.735
2024-01-18,103.54000091552734,,308.735
2024-01-19,103.29000091552734,,308.735
2024-01-22,103.33000183105469,,308.735
2024-01-23,103.62000274658203,,308.735
2024-01-24,103.23999786376953,,308.735
2024-01-25,103.56999969482422,,308.735
2024-01-26,103.47000122070312,,308.735
2024-01-29,103.61000061035156,,308.735
2024-01-30,103.4000015258789,,308.735
2024-01-31,103.2699966430664,,308.735
2024-02-01,103.05000305175781,13.2,311.022
2024-02-02,103.91999816894531,13.85,311.022
2024-02-05,104.44999694824219,14.68,311.022
2024-02-06,104.18000030517578,,311.022
2024-02-07,104.04000091552734,12.03,311.022
2024-02-08,104.1500015258789,23.39,311.022
2024-02-09,104.08000183105469,15.55,311.022
2024-02-12,104.16999816894531,13.34,311.022
2024-02-13,104.95999908447266,,311.022
2024-02-14,104.72000122070312,,311.022
2024-02-15,104.30000305175781,,311.022
2024-02-16,104.30000305175781,,311.022
2024-02-20,104.08000183105469,,311.022
2024-02-21,104.01000213623047,,311.022
2024-02-22,103.95999908447266,,311.022
2024-02-23,103.94000244140625,,311.022
2024-02-26,103.83000183105469,,311.022
2024-02-27,103.83000183105469,,311.022
2024-02-28,103.9800033569336,,311.022
2024-02-29,104.16000366210938,,311.022
2024-03-01,103.86000061035156,14.04,312.107
2024-03-04,103.83000183105469,14.33,312.107
2024-03-05,103.80000305175781,13.49,312.107
2024-03-06,103.37000274658203,13.11,312.107
2024-03-07,102.81999969482422,12.09,312.107
2024-03-08,102.73999786376953,,312.107
2024-03-11,102.87000274658203,,312.107
2024-03-12,102.95999908447266,13.3,312.107
2024-03-13,102.79000091552734,,312.107
2024-03-14,103.36000061035156,,312.107
2024-03-15,103.43000030517578,,312.107
2024-03-18,103.58000183105469,,312.107
2024-03-19,103.80999755859375,,312.107
2024-03-20,103.41000366210938,,312.107
2024-03-21,104.0,,312.107
2024-03-22,104.43000030517578,,312.107
2024-03-25,104.2300033569336,,312.107
2024-03-26,104.29000091552734,,312.107
2024-03-27,104.3499984741211,,312.107
2024-03-28,104.55000305175781,,312.107
2024-04-01,105.0199966430664,14.13,313.016
2024-04-02,104.81999969482422,,313.016
2024-04-03,104.25,13.49,313.016
2024-04-04,104.12000274658203,16.35,313.016
2024-04-05,104.30000305175781,,313.016
2024-04-08,104.13999938964844,,313.016
2024-04-09,104.1500015258789,21.32,313.016
2024-04-10,105.25,19.21,313.016
2024-04-11,105.27999877929688,21.98,313.016
2024-04-12,106.04000091552734,13.45,313.016
2024-04-15,106.20999908447266,,313.016
2024-04-16,106.26000213623047,,313.016
2024-04-17,105.94999694824219,,313.016
2024-04-18,106.1500015258789,,313.016
2024-04-19,106.1500015258789,,313.016
2024-04-22,106.08000183105469,,313.016
2024-04-23,105.69000244140625,,313.016
2024-04-24,105.86000061035156,,313.016
2024-04-25,105.5999984741211,,313.016
2024-04-26,105.94000244140625,,313.016
2024-04-29,105.58000183105469,,313.016
2024-04-30,106.22000122070312,,313.016
2024-05-01,105.76000213623047,13.35,313.14
2024-05-02,105.30000305175781,13.67,313.14
2024-05-03,105.02999877929688,14.46,313.14
2024-05-06,105.05000305175781,12.63,313.14
